STATION_NAME,LATITUDE,LONGITUDE,MODEL,YEAR_START,YEAR_END,SCENARIO
"Baker, CA - Mojave Pointe Rd - Tesla Supercharger",35.268984000000000,-116.06668900000000,Ioniq 5,2025,2026,with adapter
US Bank 3355 Glendale,34.119663300000000,-118.25953740000000,Ioniq 9,2026,,with adapter
City of South Pasadena,34.116310000000000,-118.15215000000000,Ioniq 5 N,2026,2026,with adapter
"Hesperia, CA - Tesla Supercharger",34.424701000000000,-117.38573800000000,Ioniq 5,2022,2024,with adapter
"Walmart 2886 (Pico Rivera, CA)",33.986450000000000,-118.10495000000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV - East Sahara Avenue - Tesla Supercharger",36.145396000000000,-115.10297800000000,Kona Electric,2019,2025,with adapter
"Ralphs 32 (Los Angeles, CA)",34.068540000000000,-118.29112000000000,Ioniq 5 N,2025,2025,with adapter
"Kroger Smiths 305 (Sunrise, NV)",36.173860000000000,-115.09644000000000,Ioniq 5 N,2026,2026,with adapter
3530 West Century Blvd,33.944524100000000,-118.33324560000000,Ioniq 5 N,2025,2025,with adapter
"Gigahub Huntington Drive, Duarte, CA",34.140216000000000,-117.95962300000000,Ioniq 5 N,2025,2025,with adapter
"Barstow, CA - Tanger Way - Tesla Supercharger",34.844499000000000,-117.08577100000000,Kona Electric,2019,2025,with adapter
Montclair East Shopping Center,34.088568000000000,-117.68592700000000,Ioniq 5 N,2025,2025,with adapter
The Village at Century,33.944829000000000,-118.33068600000000,Ioniq 5,2022,2024,with adapter
The Village at Century,33.944829000000000,-118.33068600000000,Ioniq 6,2022,2025,with adapter
"Walmart 5154 (Rosemead, CA)",34.050900000000000,-118.08359000000000,Ioniq 9,2026,,with adapter
"Ontario, CA - N Haven Ave - Tesla Supercharger",34.076981000000000,-117.57431100000000,Ioniq 6,2026,,with adapter
"Hacienda Heights, CA - Tesla Supercharger",34.010078000000000,-117.96116900000000,Ioniq 9,2026,,with adapter
1310 W Baseline Rd,34.122101000000000,-117.39687900000000,Ioniq 6,2022,2025,with adapter
"Huntington Park, CA - Tesla Supercharger",33.990148000000000,-118.21634500000000,Kona Electric,2019,2025,with adapter
661 Imperial St,34.036128000000000,-118.23178400000000,Ioniq 5 N,2025,2025,with adapter
Hilton Los Angeles/San Gabriel,34.080799000000000,-118.10248700000000,Ioniq 5,2025,2026,with adapter
"North Las Vegas, NV - Tesla Supercharger",36.239084000000000,-115.11611700000000,Ioniq 5,2022,2024,with adapter
"Commerce, CA - E Telegraph Rd - Tesla Supercharger",33.998388000000000,-118.14614700000000,Ioniq 6,2026,,with adapter
Las Vegas,35.999436000000000,-115.17175500000000,Ioniq 6,2022,2025,with adapter
LA County ISD Walt Disney Parking Garage P3,34.055505000000000,-118.24885200000000,Ioniq 6,2022,2025,with adapter
"Diamond Bar, CA - Tesla Supercharger",33.975843000000000,-117.83842800000000,Ioniq 6,2022,2025,with adapter
PowerStation - Rasor Rd,35.134718200000000,-116.21681310000000,Ioniq 5,2022,2024,with adapter
City of Pasadena - Del Mar Station,34.142000000000000,-118.14862600000000,Ioniq 5 N,2026,2026,with adapter
"Montebello Plaza (Montebello , CA)",34.031070000000000,-118.12404000000000,Ioniq 5 N,2025,2025,with adapter
GF4EVA VVILLE M6 DC2,34.556316000000000,-117.28995600000000,Ioniq 6,2026,,with adapter
"Ralphs 715 (Monterey Park, CA)",34.066010000000000,-118.13393000000000,Ioniq 5 N,2025,2025,with adapter
"Glendale, CA - N Glendale Ave - Tesla Supercharger",34.149535700000000,-118.24781960000000,Ioniq 6,2022,2025,with adapter
"Pavilions 2229 (Los Angeles, CA)",34.083640000000000,-118.32747000000000,Ioniq 5 N,2026,2026,with adapter
GM Oil Site 111 FoodMart Los Angeles,34.018660888026000,-118.35493777871600,Ioniq 9,2026,,with adapter
Puente Hills Town Center,33.990370000000000,-117.92588000000000,Kona Electric,2019,2025,with adapter
RANCHOCUCAMONGA DCFC CITY HALL,34.103720000000000,-117.57447700000000,Ioniq 5,2022,2024,with adapter
CITY_OF_VERNON 1850 E25TH-10,34.014380000000000,-118.23810800000000,Ioniq 9,2026,,with adapter
"Target T2179 (Diamond Bar, CA)",34.004360000000000,-117.82223000000000,Ioniq 9,2026,,with adapter
Park Towers at Hughes Center,36.115304500000000,-115.15677400000000,Ioniq 5 N,2025,2025,with adapter
Madison Parking Lot,34.015769507079150,-118.40447340393226,Ioniq 5 N,2026,2026,with adapter
DC OB DC 3,34.846389000000000,-117.08386400000000,Ioniq 6,2022,2025,with adapter
Motel 6 Chino,34.031418000000000,-117.69093210000000,Ioniq 6,2026,,with adapter
Puente Hills Town Center,33.990370000000000,-117.92588000000000,Ioniq 6,2022,2025,with adapter
Chase Bank - 925 N Hacienda Blvd,34.036106000000000,-117.95038500000000,Ioniq 5 N,2026,2026,with adapter
"Universal City, CA - Tesla Supercharger",34.138042000000000,-118.35927200000000,Ioniq 5 N,2026,2026,with adapter
Sunny Plaza,34.080280000000000,-118.09299100000000,Ioniq 5,2025,2026,with adapter
G&M OIL G&M #76,34.165551000000000,-117.33235100000000,Ioniq 5,2022,2024,with adapter
"Target T0265 (Paradise, NV)",36.115690000000000,-115.13926000000000,Kona Electric,2019,2025,with adapter
The Mall of Victor Valley,34.472906000000000,-117.35014200000000,Ioniq 6,2026,,with adapter
HollyWest Promenade,34.102350000000000,-118.30887000000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV - 3528 South Maryland Parkway - Tesla Supercharger",36.125754000000000,-115.13462200000000,Ioniq 6,2022,2025,with adapter
"La Verne, CA - Tesla Supercharger",34.121427000000000,-117.78710200000000,Ioniq 5 N,2026,2026,with adapter
City of Los Angeles Lot 628,34.074273000000000,-118.21532100000000,Ioniq 5 N,2025,2025,with adapter
H&S ENERGY H&S#20 CHEVRON,34.034767000000000,-118.09062900000000,Kona Electric,2019,2025,with adapter
CITY_OF_VERNON 1850 E25TH-1,34.014503000000000,-118.23790700000000,Ioniq 5,2025,2026,with adapter
"Kroger Smiths 305 (Sunrise, NV)",36.173860000000000,-115.09644000000000,Kona Electric,2019,2025,with adapter
"Las Vegas, NV - East Sahara Avenue - Tesla Supercharger",36.145396000000000,-115.10297800000000,Ioniq 6,2022,2025,with adapter
L344 MB SECOND FLOOR,34.035947000000000,-118.27297300000000,Ioniq 5,2025,2026,with adapter
76 Gas Station San Gabriel,34.103147800000000,-118.09930910000000,Ioniq 5,2022,2024,with adapter
The Village at Century,33.944829000000000,-118.33068600000000,Ioniq 5 N,2026,2026,with adapter
IN-N-OUT ATLANTIC 04,33.977378000000000,-118.18745900000000,Ioniq 5,2022,2024,with adapter
7Charge - Covina 22548,34.086890000000000,-117.92584000000000,Kona Electric,2019,2025,with adapter
Covina Town Square,34.105800000000000,-117.90569000000000,Ioniq 5 N,2026,2026,with adapter
Covina Town Square,34.105800000000000,-117.90569000000000,Ioniq 5,2022,2024,with adapter
CITY_OF_VERNON 1850 E25TH-2,34.014493000000000,-118.23793900000000,Ioniq 9,2026,,with adapter
Culver City Senior Center,34.014540000000000,-118.40405000000000,Ioniq 5,2022,2024,with adapter
BAKER TRAVEL PLAZA,35.276756900000000,-116.05701660000000,Ioniq 6,2026,,with adapter
Las Vegas NV - West Tropical Parkway - Tesla Supercharger,36.271567000000000,-115.26548900000000,Kona Electric,2019,2025,with adapter
Rialto Village,34.073740000000000,-117.37058000000000,Ioniq 5 N,2026,2026,with adapter
Hilton Los Angeles/San Gabriel,34.080799000000000,-118.10248700000000,Ioniq 9,2026,,with adapter
Inter Community Hospital Covina,34.089977300000000,-117.89255872601200,Kona Electric,2019,2025,with adapter
City of Pasadena - Marengo Garage,34.144703000000000,-118.14695700000000,Ioniq 6,2026,,with adapter
"Walmart 4340 (Hesperia, CA)",34.424540000000000,-117.37148000000000,Ioniq 5 N,2025,2025,with adapter
North Las Vegas Rechargery Relay - W Centennial Pkwy,36.276117000000000,-115.17951200000000,Kona Electric,2019,2025,with adapter
DC CORRIDOR EDDIES Y DC3,34.907542000000000,-116.83604800000000,Kona Electric,2019,2025,with adapter
Winterwood Pavilion,36.146180000000000,-115.06522000000000,Ioniq 9,2026,,with adapter
"Alhambra, CA - West Valley Boulevard - Tesla Supercharger",34.077346000000000,-118.13855400000000,Ioniq 5,2022,2024,with adapter
CITY_OF_VERNON 3805 SOTO-10,34.008061000000000,-118.22000100000000,Ioniq 5 N,2026,2026,with adapter
Winterwood Pavilion,36.146180000000000,-115.06522000000000,Ioniq 5,2025,2026,with adapter
Victoria Gardens,34.112867000000000,-117.53342300000000,Ioniq 9,2026,,with adapter
AMPM ARCO BEAR VALLEY 2,34.470448000000000,-117.31275100000000,Ioniq 5 N,2025,2025,with adapter
City of Pasadena - Shopper's Lane,34.138606025541100,-118.13112326151200,Ioniq 5 N,2025,2025,with adapter
San Dimas Plaza Shopping Center,34.107530000000000,-117.82649000000000,Ioniq 6,2026,,with adapter
CITY_OF_VERNON 1850 E25TH-6,34.014444000000000,-118.23802600000000,Ioniq 5,2025,2026,with adapter
"BOA Crenshaw Imperial CA8-191 (Inglewood, CA)",33.929310000000000,-118.32674000000000,Ioniq 5,2025,2026,with adapter
Little Caesars Pizza- 10714 S Western Ave,33.938580000000000,-118.30886000000000,Ioniq 6,2022,2025,with adapter
"Las Vegas, NV - 7400 Las Vegas Boulevard South - Tesla Supercharger",36.056640000000000,-115.17045900000000,Ioniq 6,2022,2025,with adapter
"Sam's Club 4974 (North Las Vegas, NV)",36.241090000000000,-115.11261000000000,Ioniq 5,2025,2026,with adapter
Solair Wilshire,34.061876900000000,-118.30862790000000,Ioniq 9,2026,,with adapter
Norm Reeves Honda Superstore West Covina,34.070390000000000,-117.90579000000000,Ioniq 5 N,2026,2026,with adapter
"Diamond Bar, CA - Golden Springs Drive - Tesla Supercharger",33.999023000000000,-117.84384400000000,Ioniq 5,2025,2026,with adapter
"San Gabriel, CA - Tesla Supercharger",34.077496000000000,-118.10012800000000,Ioniq 5 N,2025,2025,with adapter
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Ioniq 5,2025,2026,with adapter
City of Los Angeles Lot 628,34.074273000000000,-118.21532100000000,Ioniq 9,2026,,with adapter
"The Shops at Jurupa Valley (Jurupa Valley, CA)",34.011350000000000,-117.46173000000000,Ioniq 6,2026,,with adapter
GF4EVA VVILLE M6 DC1,34.556277000000000,-117.28995100000000,Ioniq 5 N,2025,2025,with adapter
LOVE'S 374 - CA #374 DC1,34.856826000000000,-117.09190800000000,Ioniq 5 N,2025,2025,with adapter
DOWNEYHYUNDAI CPE250 1,33.946263000000000,-118.14534200000000,Ioniq 5,2025,2026,with adapter
Puente Hills Nissan,33.998192000000000,-117.92814600000000,Ioniq 6,2026,,with adapter
"Kroger Smiths 305 (Sunrise, NV)",36.173860000000000,-115.09644000000000,Ioniq 5 N,2025,2025,with adapter
Monterey Park,34.059530000000000,-118.12661000000000,Ioniq 6,2022,2025,with adapter
76 Gas Station San Gabriel,34.103147800000000,-118.09930910000000,Ioniq 5 N,2025,2025,with adapter
JLR HENDERSON ABB 02,36.053704000000000,-115.02745100000000,Ioniq 5 N,2026,2026,with adapter
"Las Vegas, NV - East Sahara Avenue - Tesla Supercharger",36.145396000000000,-115.10297800000000,Ioniq 9,2026,,with adapter
CITY_OF_VERNON 3805 SOTO-9,34.008059000000000,-118.21997600000000,Kona Electric,2019,2025,with adapter
8000 Sunset Blvd,34.097482500000000,-118.36446270000000,Ioniq 6,2022,2025,with adapter
"Azusa, CA - Tesla Supercharger",34.136811000000000,-117.90852900000000,Ioniq 6,2022,2025,with adapter
City National Plaza,34.052093700000000,-118.25523390000000,Ioniq 5,2025,2026,with adapter
US Bank Jurupa Valley,34.012078600000000,-117.48206780000000,Ioniq 5 N,2025,2025,with adapter
661 Imperial St,34.036128000000000,-118.23178400000000,Ioniq 9,2026,,with adapter
MINI of Monrovia,34.136472000000000,-117.98718700000000,Ioniq 5,2025,2026,with adapter
City of Pasadena - Arroyo Parkway,34.127455808632000,-118.14781708221200,Ioniq 5 N,2026,2026,with adapter
LA County ISD Walt Disney Parking Garage P3,34.055505000000000,-118.24885200000000,Ioniq 9,2026,,with adapter
"Alhambra, CA - East Bay State St - Tesla Supercharger",34.095083000000000,-118.12393000000000,Ioniq 5,2025,2026,with adapter
North Las Vegas Rechargery Relay - W Centennial Pkwy,36.276117000000000,-115.17951200000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV - West Charleston Boulevard - Tesla Supercharger",36.157865000000000,-115.33380400000000,Ioniq 9,2026,,with adapter
L516 DC01,34.034420000000000,-118.27100300000000,Ioniq 5,2022,2024,with adapter
"Las Vegas, NV - East Twain Avenue - Tesla Supercharger",36.121869000000000,-115.14503000000000,Ioniq 5 N,2025,2025,with adapter
Cadillac of Las Vegas,36.143709000000000,-115.21176200000000,Ioniq 5 N,2026,2026,with adapter
City of Los Angeles Lot 744,33.961488000000000,-118.29207000000000,Ioniq 9,2026,,with adapter
GM Oil Site 111 FoodMart Los Angeles,34.018660888026000,-118.35493777871600,Ioniq 6,2026,,with adapter
AMPM ARCO BEAR VALLEY 2,34.470448000000000,-117.31275100000000,Ioniq 6,2026,,with adapter
"Pomona, CA - Rio Rancho Road - Tesla Supercharger",34.028502000000000,-117.76035400000000,Ioniq 9,2026,,with adapter
Puente Hills Town Center,33.990370000000000,-117.92588000000000,Ioniq 5 N,2026,2026,with adapter
Metro Nissan of Montclair,34.082222000000000,-117.69490300000000,Kona Electric,2019,2025,with adapter
Las Vegas - South Nellis Boulevard - Tesla Supercharger,36.144821000000000,-115.06351000000000,Ioniq 5,2022,2024,with adapter
"City of Industry, CA - Gale Avenue - Tesla Supercharger",33.994491000000000,-117.89956900000000,Ioniq 6,2026,,with adapter
ONTARIO 76 CHARGER 2,34.063302000000000,-117.61153300000000,Ioniq 5 N,2026,2026,with adapter
"Las Vegas, NV - 7400 Las Vegas Boulevard South - Tesla Supercharger",36.056640000000000,-115.17045900000000,Ioniq 5,2025,2026,with adapter
"Walmart 3180 (South Gate, CA)",33.954180000000000,-118.18774000000000,Ioniq 6,2022,2025,with adapter
KMC Norfolk,34.062387000000000,-118.20418260000000,Ioniq 5,2025,2026,with adapter
"Kroger Smiths 354 (Whitney, NV)",36.116670000000000,-115.09163000000000,Ioniq 5 N,2025,2025,with adapter
"West Covina, CA - E Eastland Center Drive - Tesla Supercharger",34.073884000000000,-117.88975400000000,Ioniq 5 N,2026,2026,with adapter
"Forum Shops at Caesars Palace (Las Vegas, NV)",36.119740000000000,-115.17691000000000,Ioniq 6,2026,,with adapter
"BOA CA9-164 (South Pasadena, CA)",34.115130000000000,-118.15129000000000,Ioniq 5,2022,2024,with adapter
"BOA CA9-164 (South Pasadena, CA)",34.115130000000000,-118.15129000000000,Ioniq 5,2025,2026,with adapter
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 5 N,2025,2025,with adapter
"Victorville, CA - Amargosa Road - Tesla Supercharger",34.463006000000000,-117.35421800000000,Ioniq 5 N,2026,2026,with adapter
"Baker, CA - Mojave Pointe Rd - Tesla Supercharger",35.268984000000000,-116.06668900000000,Ioniq 5 N,2025,2025,with adapter
"Las Vegas, NV - 3528 South Maryland Parkway - Tesla Supercharger",36.125754000000000,-115.13462200000000,Ioniq 5,2025,2026,with adapter
HollyWest Promenade,34.102350000000000,-118.30887000000000,Kona Electric,2019,2025,with adapter
"Las Vegas, NV - 3528 South Maryland Parkway - Tesla Supercharger",36.125754000000000,-115.13462200000000,Kona Electric,2019,2025,with adapter
"Barstow, CA",34.851349000000000,-117.08257800000000,Kona Electric,2019,2025,with adapter
City of Los Angeles Lot 628,34.074273000000000,-118.21532100000000,Ioniq 5 N,2026,2026,with adapter
WLCAC,33.936653700000000,-118.25362400000000,Ioniq 6,2026,,with adapter
DOWNEYHYUNDAI CPE250 1,33.946263000000000,-118.14534200000000,Ioniq 6,2022,2025,with adapter
DOWNEYHYUNDAI CPE250 1,33.946263000000000,-118.14534200000000,Ioniq 5 N,2026,2026,with adapter
G&M OIL CHEVRON #27,34.470993000000000,-117.35262000000000,Ioniq 6,2022,2025,with adapter
"Diamond Bar, CA - Tesla Supercharger",33.975843000000000,-117.83842800000000,Ioniq 9,2026,,native only
"Upland, CA - Arrow Rte - Tesla Supercharger",34.099154000000000,-117.70019200000000,Ioniq 5 N,2026,2026,native only
CITY_OF_VERNON 3805 SOTO-4,34.007896000000000,-118.21989600000000,Ioniq 9,2026,,native only
"West Covina, CA - Tesla Supercharger",34.070645000000000,-117.88908200000000,Ioniq 5,2025,2026,native only
The Elysian,34.067133000000000,-118.24929700000000,Kona Electric,2019,2025,native only
"Kroger Smiths 305 (Sunrise, NV)",36.173860000000000,-115.09644000000000,Ioniq 6,2022,2025,native only
"Ontario, CA - Ontario Mills Pkwy - Tesla Supercharger",34.068955000000000,-117.55628500000000,Ioniq 5,2025,2026,native only
99 Ranch Chino Hills,34.010479900000000,-117.74055430000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 1850 E25TH-2,34.014493000000000,-118.23793900000000,Ioniq 6,2026,,native only
City of Los Angeles Lot 670,34.102558000000000,-118.33434900000000,Ioniq 5,2025,2026,native only
BAKER TRAVEL PLAZA,35.276756900000000,-116.05701660000000,Ioniq 5,2022,2024,native only
"Azusa, CA - Tesla Supercharger",34.136811000000000,-117.90852900000000,Ioniq 9,2026,,native only
SCPPA SCPPA CPE200T,34.118106000000000,-117.82245700000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Ioniq 5,2025,2026,native only
Las Vegas - South Nellis Boulevard - Tesla Supercharger,36.144821000000000,-115.06351000000000,Ioniq 5 N,2026,2026,native only
Little Caesars Pizza- 10714 S Western Ave,33.938580000000000,-118.30886000000000,Ioniq 5,2022,2024,native only
Veteran's Memorial Park,34.012781000000000,-118.40304000000000,Ioniq 5 N,2025,2025,native only
"Circle K - Victorville, CA",34.484505427885200,-117.33051763372900,Ioniq 5 N,2025,2025,native only
"Las Vegas, NV - South Maryland Parkway - Tesla Supercharger",36.030077000000000,-115.13584300000000,Ioniq 5 N,2026,2026,native only
"North Las Vegas, NV - Tesla Supercharger",36.239084000000000,-115.11611700000000,Ioniq 9,2026,,native only
Hsi Lai Center,33.980510000000000,-117.97344600000000,Ioniq 5 N,2025,2025,native only
North Las Vegas Rechargery Relay - W Centennial Pkwy,36.276117000000000,-115.17951200000000,Ioniq 9,2026,,native only
GF4EVA VVILLE M6 DC2,34.556316000000000,-117.28995600000000,Kona Electric,2019,2025,native only
Winterwood Pavilion,36.146180000000000,-115.06522000000000,Ioniq 6,2022,2025,native only
City of Los Angeles Lot 744,33.961488000000000,-118.29207000000000,Ioniq 5,2022,2024,native only
Sunset Studios,34.097298464012000,-118.31692890366400,Kona Electric,2019,2025,native only
City of Los Angeles Lot 702,34.100570000000000,-118.32733900000000,Ioniq 5,2022,2024,native only
1310 W Baseline Rd,34.122101000000000,-117.39687900000000,Ioniq 5,2022,2024,native only
Fairway Chevrolet,36.145332000000000,-115.10693200000000,Ioniq 6,2022,2025,native only
IN-N-OUT ATLANTIC 04,33.977378000000000,-118.18745900000000,Ioniq 5,2025,2026,native only
H&S ENERGY H&S#23 CHEVRON,34.046069000000000,-117.80259600000000,Ioniq 6,2022,2025,native only
"Huntington Park, CA - Tesla Supercharger",33.990148000000000,-118.21634500000000,Ioniq 5 N,2026,2026,native only
IN-N-OUT ATLANTIC 05,33.977354000000000,-118.18756900000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 9,2026,,native only
SCPPA SCPPA CPE200T,34.118106000000000,-117.82245700000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 1850 E25TH-3,34.014481000000000,-118.23795800000000,Ioniq 9,2026,,native only
"Sam's Club 4974 (North Las Vegas, NV)",36.241090000000000,-115.11261000000000,Kona Electric,2019,2025,native only
Sharp Capital,34.052690000000000,-118.26533000000000,Ioniq 5,2022,2024,native only
Little Caesars Pizza- 10714 S Western Ave,33.938580000000000,-118.30886000000000,Kona Electric,2019,2025,native only
ONTARIO 76 CHARGER 2,34.063302000000000,-117.61153300000000,Ioniq 5,2022,2024,native only
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 6,2022,2025,native only
DOWNEYHYUNDAI CPE250 1,33.946263000000000,-118.14534200000000,Ioniq 5 N,2025,2025,native only
LA County DHS 313 Fig,34.060148000000000,-118.25074700000000,Ioniq 6,2022,2025,native only
"Target T1524 (Spring Valley, NV)",36.114810000000000,-115.31058000000000,Ioniq 5,2022,2024,native only
"Commerce, CA - E Telegraph Rd - Tesla Supercharger",33.998388000000000,-118.14614700000000,Ioniq 9,2026,,native only
Jordan Downs,33.946716000000000,-118.22994000000000,Ioniq 5 N,2025,2025,native only
California Institute of Technology - North Wilson Parking Structure,34.139958000000000,-118.12844600000000,Kona Electric,2019,2025,native only
City of Pasadena - Arroyo Parkway,34.127455808632000,-118.14781708221200,Kona Electric,2019,2025,native only
Friendly Ford Body Shop,36.189116000000000,-115.20506200000000,Kona Electric,2019,2025,native only
"Alhambra, CA - West Valley Boulevard - Tesla Supercharger",34.077346000000000,-118.13855400000000,Ioniq 9,2026,,native only
"Las Vegas, NV - 3821 West Charleston Boulevard - Tesla Supercharger",36.158707000000000,-115.19099000000000,Ioniq 5,2025,2026,native only
WinCo Foods - Pomona #57,34.027210000000000,-117.76206000000000,Ioniq 5,2022,2024,native only
L344 MB SECOND FLOOR,34.035947000000000,-118.27297300000000,Ioniq 5,2022,2024,native only
"Las Vegas, NV - West Craig Road - Tesla Supercharger",36.239055000000000,-115.24980200000000,Ioniq 5 N,2026,2026,native only
CITY_OF_VERNON 1850 E25TH-2,34.014493000000000,-118.23793900000000,Ioniq 5 N,2026,2026,native only
City of Los Angeles Lot 675,34.103853000000000,-118.29105200000000,Ioniq 6,2022,2025,native only
"Ontario, CA - Mills Circle - Tesla Supercharger",34.071708000000000,-117.55616000000000,Ioniq 6,2026,,native only
Ford Country,36.048478000000000,-115.02823000000000,Ioniq 6,2022,2025,native only
RC SPORTS EVHUB ADJ SWGR,34.102644000000000,-117.54410000000000,Ioniq 5 N,2025,2025,native only
"Baldwin Park, CA - Tesla Supercharger",34.079207000000000,-117.98884000000000,Ioniq 9,2026,,native only
"Ontario Mills (Ontario, CA)",34.074240000000000,-117.54753000000000,Kona Electric,2019,2025,native only
MINI of Monrovia,34.136472000000000,-117.98718700000000,Kona Electric,2019,2025,native only
The Elysian - Tenants Only,34.066624000000000,-118.24822700000000,Ioniq 5 N,2025,2025,native only
"Los Angeles, CA - Industrial Street - Tesla Supercharger",34.035783000000000,-118.23835900000000,Ioniq 9,2026,,native only
"Montebello Plaza (Montebello , CA)",34.031070000000000,-118.12404000000000,Ioniq 6,2022,2025,native only
FH DELIVERY 12339 FH SVC,34.134053000000000,-117.43728000000000,Ioniq 6,2022,2025,native only
"Las Vegas, NV - West Charleston Boulevard - Tesla Supercharger",36.157865000000000,-115.33380400000000,Ioniq 5 N,2026,2026,native only
Fountainebleau,36.138658700000000,-115.16036550000000,Ioniq 5,2022,2024,native only
Team Ford,36.259310000000000,-115.24797700000000,Kona Electric,2019,2025,native only
Puente Hills Nissan,33.998192000000000,-117.92814600000000,Ioniq 5 N,2025,2025,native only
MIDTOWN LA MIDTOWN DC,34.047397000000000,-118.33611300000000,Kona Electric,2019,2025,native only
WinCo Foods - Pomona #57,34.027210000000000,-117.76206000000000,Ioniq 6,2022,2025,native only
DC CORRIDOR EDDIES Y DC1,34.907504000000000,-116.83600100000000,Ioniq 6,2022,2025,native only
H&S ENERGY H&S#23 CHEVRON,34.046069000000000,-117.80259600000000,Ioniq 5,2022,2024,native only
CITY_OF_VERNON 3805 SOTO-7,34.007973000000000,-118.21989600000000,Ioniq 6,2022,2025,native only
Victoria Gardens,34.112867000000000,-117.53342300000000,Ioniq 6,2022,2025,native only
Downey Nissan,33.947674638000000,-118.15152577300000,Ioniq 6,2022,2025,native only
CITY_OF_VERNON 1850 E25TH-7,34.014426000000000,-118.23804700000000,Ioniq 6,2022,2025,native only
US Bank San Gabriel,34.103709800000000,-118.08949900000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-3,34.007876000000000,-118.21990100000000,Ioniq 5,2022,2024,native only
"Inglewood, CA - West Imperial Highway - Tesla Supercharger",33.930757000000000,-118.32770400000000,Ioniq 6,2026,,native only
ONTARIO 76 CHARGER 2,34.063302000000000,-117.61153300000000,Ioniq 5 N,2025,2025,native only
Airport Marina Ford,33.976019000000000,-118.38478300000000,Ioniq 5 N,2025,2025,native only
"Westfield Century City (Los Angeles, CA)",34.057940000000000,-118.41993000000000,Ioniq 5,2022,2024,native only
"Pasadena, CA - E Glenarm St - Tesla Supercharger",34.127184000000000,-118.14776100000000,Ioniq 6,2026,,native only
City of Los Angeles Lot 657,34.072877000000000,-118.21769000000000,Ioniq 9,2026,,native only
DOWNEYHYUNDAI CPE250 1,33.946263000000000,-118.14534200000000,Kona Electric,2019,2025,native only
"Jurupa Valley, CA - Tesla Supercharger",34.012541000000000,-117.46064800000000,Ioniq 5 N,2026,2026,native only
"South Pasadena, CA - Tesla Supercharger",34.112612000000000,-118.15064600000000,Ioniq 5,2025,2026,native only
"Ultra Gas and Mart (Baker, CA)",35.262260000000000,-116.08110000000000,Ioniq 5 N,2025,2025,native only
GM Oil Site 76 Chevron San Bernardino,34.165633510226000,-117.33232266743800,Ioniq 5,2022,2024,native only
PowerStation - Rasor Rd,35.134718200000000,-116.21681310000000,Ioniq 5 N,2025,2025,native only
City of Pasadena - Del Mar Station,34.142000000000000,-118.14862600000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-10,34.008061000000000,-118.22000100000000,Ioniq 9,2026,,native only
PH SUBARU PH SUBARU,33.996114000000000,-117.91713300000000,Ioniq 5 N,2025,2025,native only
Monterey Park,34.059530000000000,-118.12661000000000,Ioniq 5,2022,2024,native only
Culver - Motor Structure 1st Floor,34.015769507079150,-118.40445194626264,Ioniq 5,2022,2024,native only
Culver - Motor Structure 1st Floor,34.015769507079150,-118.40445194626264,Ioniq 6,2022,2025,native only
"Vernon, CA - Tesla Supercharger",34.008045000000000,-118.22020100000000,Ioniq 5 N,2026,2026,native only
Montclair East Shopping Center,34.088568000000000,-117.68592700000000,Ioniq 5,2022,2024,native only
Victoria Gardens,34.112867000000000,-117.53342300000000,Ioniq 5,2022,2024,native only
Claremont Star,34.107625900000000,-117.72058890000000,Kona Electric,2019,2025,native only
CITY_OF_VERNON 1850 E25TH-4,34.014472000000000,-118.23798500000000,Ioniq 5,2025,2026,native only
LA Fitness Baldwin Park,34.069344000000000,-117.97454200000000,Kona Electric,2019,2025,native only
Puente Hills Town Center,33.990370000000000,-117.92588000000000,Ioniq 5,2022,2024,native only
City of Los Angeles Lot 619,34.097765000000000,-118.35316900000000,Ioniq 5 N,2025,2025,native only
CITY_OF_VERNON 3805 SOTO-3,34.007876000000000,-118.21990100000000,Kona Electric,2019,2025,native only
KMC Norfolk,34.062387000000000,-118.20418260000000,Ioniq 6,2022,2025,native only
"Pasadena, CA - E Glenarm St - Tesla Supercharger",34.127184000000000,-118.14776100000000,Ioniq 5 N,2026,2026,native only
"Barstow, CA - 1503 East Main Street - Tesla Supercharger",34.893641000000000,-117.00244400000000,Ioniq 6,2026,,native only
"Los Angeles, CA - Venice Boulevard - Tesla Supercharger",34.027975000000000,-118.39414400000000,Ioniq 5,2025,2026,native only
JLRLV PUPLIC WEST DC,36.065812000000000,-115.23208400000000,Ioniq 5 N,2025,2025,native only
